Chemical formula,A,B,Valence A,Valence B,Radius A [ang],Radius B [ang],Crystal Type,Crystal Type,a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Band gap [eV],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Vacancy energy [eV/O atom]
EuCeO3,Eu,Ce,2,4,1.48,0.87,cubic,0,4.494,4.494,4.494,90,90,90,0,-2.557,0.562,0.2,18.15,-1.183
EuCoO3,Eu,Co,2,4,1.48,0.53,orthorhombic,3,5.258,5.313,7.577,90,90,90,0,-2.138,-0.038,0.6,10.583,1.59
EuCrO3,Eu,Cr,2,4,1.48,0.55,orthorhombic,3,5.334,5.352,7.569,90,90,90,0.605,-2.8,-0.051,0.4,10.803,2.113
EuCuO3,Eu,Cu,3,3,1.12,0.54,orthorhombic,3,5.269,5.329,7.509,90,90,90,0,-1.783,0.059,-0.026,10.542,0.065
EuDyO3,Eu,Dy,3,3,1.12,0.91,orthorhombic,3,5.866,6.064,8.278,90,90,90,0,-3.173,0.11,0.198,14.724,-0.884
EuErO3,Eu,Er,3,3,1.12,0.89,orthorhombic,3,5.813,6.018,8.236,90,90,90,0,-3.209,0.098,0.2,14.407,-0.805
Eu2O3,Eu,Eu,3,3,1.12,0.95,cubic,0,4.2,4.2,4.2,90,90,90,0,-2.199,0.519,0.011,14.814,-1.227
EuFeO3,Eu,Fe,3,3,1.12,0.65,orthorhombic,3,5.324,5.363,7.551,90,90,90,0,-2.417,-0.078,0.8,10.78,1.667
EuGaO3,Eu,Ga,3,3,1.12,0.62,rhombohedral,2,5.329,5.329,5.329,62.3,62.3,62.3,0,-2.43,0.013,0.199,11.255,-0.252
EuGdO3,Eu,Gd,3,3,1.12,0.94,orthorhombic,3,5.913,6.098,8.353,90,90,90,0,-3.132,0.123,0.199,15.06,-0.954
EuGeO3,Eu,Ge,2,4,1.48,0.53,rhombohedral,2,5.284,5.284,5.284,60.5,60.5,60.5,1.791,-2.704,-0.212,0,10.559,4.364
EuHfO3,Eu,Hf,2,4,1.48,0.71,orthorhombic,3,5.623,5.727,8.01,90,90,90,4.521,-3.844,-0.182,0,12.898,6.69
EuHoO3,Eu,Ho,3,3,1.12,0.9,orthorhombic,3,5.835,6.039,8.266,90,90,90,0,-3.192,0.104,0.2,14.563,-0.853
EuInO3,Eu,In,3,3,1.12,0.8,orthorhombic,3,5.687,5.96,7.949,90,90,90,0,-2.217,0.085,0.2,13.472,-0.835
EuIrO3,Eu,Ir,2,4,1.48,0.63,orthorhombic,3,5.351,5.695,7.722,90,90,90,0,-2.097,-0.043,0.051,11.766,1.311
EuLaO3,Eu,La,3,3,1.12,1.03,orthorhombic,3,5.979,6.232,8.697,90,90,90,0,-3.074,0.141,0.2,16.201,-0.814
EuLuO3,Eu,Lu,3,3,1.12,0.86,orthorhombic,3,5.739,5.952,8.162,90,90,90,0,-3.261,0.094,0.2,13.942,-0.626
EuMnO3,Eu,Mn,2,4,1.48,0.53,rhombohedral,2,5.283,5.283,5.283,60.9,60.9,60.9,0,-2.612,0.003,0.6,10.64,1.741
EuMoO3,Eu,Mo,2,4,1.48,0.65,orthorhombic,3,5.49,5.587,7.83,90,90,90,0,-2.815,-0.101,0.002,12.007,4.925
EuNbO3,Eu,Nb,2,4,1.48,0.68,orthorhombic,3,5.571,5.681,7.963,90,90,90,0,-3.211,-0.053,0,12.602,5.532
EuNdO3,Eu,Nd,3,3,1.12,0.98,cubic,0,4.414,4.414,4.414,90,90,90,0,-2.666,0.567,0.2,17.198,-1.14
EuNiO3,Eu,Ni,3,3,1.12,0.6,orthorhombic,3,5.28,5.287,7.537,90,90,90,0,-1.895,0,0,10.519,0.409
EuPbO3,Eu,Pb,2,4,1.48,0.78,orthorhombic,3,5.726,5.984,8.227,90,90,90,1.234,-2.177,-0.15,0,14.096,1.477
EuPdO3,Eu,Pd,2,4,1.48,0.62,orthorhombic,3,5.416,5.659,7.747,90,90,90,0.454,-1.884,-0.09,0,11.872,0.085
EuPrO3,Eu,Pr,2,4,1.48,0.85,cubic,0,4.451,4.451,4.451,90,90,90,0,-2.616,0.53,0.2,17.636,-1.142
EuReO3,Eu,Re,2,4,1.48,0.63,orthorhombic,3,5.458,5.58,7.778,90,90,90,0,-2.45,-0.067,-0.002,11.845,3.283
EuRhO3,Eu,Rh,2,4,1.48,0.6,orthorhombic,3,5.371,5.626,7.717,90,90,90,0,-2.109,-0.128,0.194,11.66,1.403
EuRuO3,Eu,Ru,2,4,1.48,0.62,orthorhombic,3,5.413,5.571,7.738,90,90,90,0,-2.26,-0.112,0.383,11.669,2.747
EuSbO3,Eu,Sb,3,3,1.12,0.76,orthorhombic,3,5.676,5.893,8.142,90,90,90,0,-2.434,-0.04,0,13.617,2.693
EuScO3,Eu,Sc,3,3,1.12,0.75,orthorhombic,3,5.567,5.786,7.954,90,90,90,0,-3.238,0.03,0.2,12.808,-0.446
EuSiO3,Eu,Si,3,3,1.12,0.4,cubic,0,3.593,3.593,3.593,90,90,90,3.989,-3.283,0.001,0,9.277,6.453
EuSmO3,Eu,Sm,3,3,1.12,0.96,orthorhombic,3,5.955,6.169,8.438,90,90,90,0,-3.075,0.134,0.2,15.5,-1.08
EuSnO3,Eu,Sn,2,4,1.48,0.69,orthorhombic,3,5.587,5.716,7.989,90,90,90,2.578,-2.701,-0.171,0,12.755,3.686
EuTaO3,Eu,Ta,2,4,1.48,0.68,orthorhombic,3,5.561,5.643,7.948,90,90,90,0,-3.311,0.037,0,12.47,5.762
EuTbO3,Eu,Tb,2,4,1.48,0.76,orthorhombic,3,5.907,6.1,8.269,90,90,90,0,-3.023,0.116,0.199,14.899,-0.919
EuTeO3,Eu,Te,2,4,1.48,0.97,orthorhombic,3,5.718,6.001,8.244,90,90,90,0.215,-2.197,0.146,0,14.143,2.866
EuThO3,Eu,Th,2,4,1.48,0.94,orthorhombic,3,6.017,6.239,8.697,90,90,90,4.512,-3.803,0.097,0,16.323,5.479
EuTiO3,Eu,Ti,2,4,1.48,0.61,orthorhombic,3,5.443,5.458,7.697,90,90,90,2.192,-3.558,-0.254,0,11.432,5.431
EuTlO3,Eu,Tl,3,3,1.12,0.89,orthorhombic,3,5.709,6.093,8.144,90,90,90,0,-1.756,0.088,0.047,14.166,-0.874
EuTmO3,Eu,Tm,3,3,1.12,0.88,orthorhombic,3,5.803,6,8.181,90,90,90,0,-3.234,0.09,0.2,14.242,-0.721
EuUO3,Eu,U,2,4,1.48,0.89,cubic,0,4.399,4.399,4.399,90,90,90,0,-3.143,0.507,0.382,17.029,4.988
EuVO3,Eu,V,2,4,1.48,0.58,orthorhombic,3,5.361,5.369,7.689,90,90,90,0,-3.1,-0.093,0.2,11.066,4.117
EuWO3,Eu,W,2,4,1.48,0.66,orthorhombic,3,5.503,5.595,7.854,90,90,90,0,-2.797,0.116,0,12.094,4.772
EuYO3,Eu,Y,3,3,1.12,0.9,orthorhombic,3,5.931,6.134,8.122,90,90,90,0,-3.153,0.109,0.2,14.773,-1.052
EuYbO3,Eu,Yb,3,3,1.12,0.87,cubic,0,4.107,4.107,4.107,90,90,90,0,-2.275,0.487,0.083,13.857,-1.411
EuZrO3,Eu,Zr,2,4,1.48,0.72,orthorhombic,3,5.661,5.809,8.087,90,90,90,4.134,-3.691,0,0,13.299,6.201
FeAgO3,Fe,Ag,3,3,0.78,0.75,orthorhombic,3,5.105,5.26,8.427,90,90,90,0,-0.778,0.18,0.861,11.314,-3.294
FeAlO3,Fe,Al,3,3,0.78,0.54,cubic,0,3.615,3.615,3.615,90,90,90,0,-1.806,0.652,0.997,9.452,-1.638
FeAsO3,Fe,As,3,3,0.78,0.58,cubic,0,3.758,3.758,3.758,90,90,90,0,-0.842,0.71,0.724,10.618,0.012
FeBO3,Fe,B,3,3,0.78,0.27,cubic,0,3.322,3.322,3.322,90,90,90,0,-1.021,1.146,0.999,7.332,-1.342
FeBiO3,Fe,Bi,1,5,0.92,0.76,orthorhombic,3,5.643,5.652,8.184,90,90,90,0,-1.345,0.224,0.793,13.052,-
FeCeO3,Fe,Ce,2,4,0.92,0.87,orthorhombic,3,5.697,5.723,8.764,90,90,90,1.584,-2.463,0.206,1,14.287,-6.169
FeCoO3,Fe,Co,2,4,0.92,0.53,cubic,0,3.595,3.595,3.595,90,90,90,0,-0.651,0.812,1.224,9.292,-1.547
FeCrO3,Fe,Cr,2,4,0.92,0.55,cubic,0,3.942,3.942,3.942,90,90,90,0,-1.145,0.92,1.433,12.253,-2.381
FeDyO3,Fe,Dy,3,3,0.78,0.91,cubic,0,4.263,4.263,4.263,90,90,90,0,-1.335,1.448,1.001,15.497,-5.519
FeErO3,Fe,Er,3,3,0.78,0.89,cubic,0,4.12,4.12,4.12,90,90,90,0,-1.331,1.464,0.818,13.992,-5.831
FeEuO3,Fe,Eu,3,3,0.78,0.95,orthorhombic,3,5.643,5.67,8.401,90,90,90,0.232,-2.13,0.286,0.8,13.439,-7.932
Fe2O3,Fe,Fe,3,3,0.78,0.65,cubic,0,3.725,3.725,3.725,90,90,90,0,-0.936,0.714,1.658,10.338,-1.446
FeGaO3,Fe,Ga,3,3,0.78,0.62,cubic,0,3.735,3.735,3.735,90,90,90,0,-0.979,0.898,0.999,10.419,-3.176
FeGdO3,Fe,Gd,3,3,0.78,0.94,orthorhombic,3,5.532,5.565,8.369,90,90,90,1.638,-2.587,0.179,1,12.88,-5.837
FeGeO3,Fe,Ge,2,4,0.92,0.53,cubic,0,3.691,3.691,3.691,90,90,90,0,-1.199,0.621,0.799,10.059,-
FeHfO3,Fe,Hf,2,4,0.92,0.71,cubic,0,4.043,4.043,4.043,90,90,90,0,-2.22,0.691,0.8,13.214,0.664
FeHoO3,Fe,Ho,3,3,0.78,0.9,cubic,0,4.491,4.491,4.491,90,90,90,0,-1.299,1.49,1.001,18.12,-6.084
FeIrO3,Fe,Ir,2,4,0.92,0.63,cubic,0,3.828,3.828,3.828,90,90,90,0,-0.426,0.878,0.897,11.221,-0.962
FeLaO3,Fe,La,3,3,0.78,1.03,orthorhombic,3,5.688,5.694,8.774,90,90,90,1.742,-2.577,0.178,1,14.207,-6.303
FeLuO3,Fe,Lu,3,3,0.78,0.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-
FeMnO3,Fe,Mn,2,4,0.92,0.53,cubic,0,3.715,3.715,3.715,90,90,90,0,-1.138,0.695,1.487,10.256,-1.399
FeMoO3,Fe,Mo,2,4,0.92,0.65,rhombohedral,2,5.404,5.404,5.404,59.4,59.4,59.4,0,-1.736,0.204,0.417,10.999,3.347
FeNbO3,Fe,Nb,2,4,0.92,0.68,orthorhombic,3,5.289,5.448,7.654,90,90,90,0,-2.137,0.205,0.603,11.027,3.879
FeNiO3,Fe,Ni,2,4,0.92,0.48,cubic,0,3.623,3.623,3.623,90,90,90,0,-0.519,0.815,1.133,9.512,-2.889
FePbO3,Fe,Pb,2,4,0.92,0.78,rhombohedral,2,5.927,5.927,5.927,57.6,57.6,57.6,0,-1.213,0.229,0.881,13.92,-
FePdO3,Fe,Pd,2,4,0.92,0.62,cubic,0,3.887,3.887,3.887,90,90,90,0,-0.172,0.913,0.942,11.741,-
FeReO3,Fe,Re,2,4,0.92,0.63,cubic,0,3.923,3.923,3.923,90,90,90,0,-1.072,0.561,0.661,12.073,1.515
FeRhO3,Fe,Rh,2,4,0.92,0.6,cubic,0,3.859,3.859,3.859,90,90,90,0,-0.455,0.837,1.044,11.49,-1.01
FeRuO3,Fe,Ru,1,5,0.92,0.57,cubic,0,4.397,4.397,4.397,90,90,90,0,-0.063,1.337,1.346,17.007,-
FeSbO3,Fe,Sb,1,5,0.92,0.6,cubic,0,3.977,3.977,3.977,90,90,90,0,-0.99,0.664,0.663,12.578,-
FeSiO3,Fe,Si,2,4,0.92,0.4,cubic,0,3.512,3.512,3.512,90,90,90,0,-1.908,0.594,0.8,8.664,3.687
FeSnO3,Fe,Sn,2,4,0.92,0.69,cubic,0,3.992,3.992,3.992,90,90,90,0,-1.056,0.724,0.8,12.725,-
FeTaO3,Fe,Ta,2,4,0.92,0.68,orthorhombic,3,5.178,5.767,7.432,90,90,90,0,-2.288,0.272,0.619,11.095,4.7
FeTbO3,Fe,Tb,2,4,0.92,0.76,cubic,0,4.28,4.28,4.28,90,90,90,0,-1.188,1.455,0.983,15.678,-5.344
FeTeO3,Fe,Te,2,4,0.92,0.97,cubic,0,4.076,4.076,4.076,90,90,90,0,-0.652,0.771,0.675,13.545,0.539
FeThO3,Fe,Th,2,4,0.92,0.94,cubic,0,4.713,4.713,4.713,90,90,90,0,-1.891,1.259,0.801,20.94,-
FeTiO3,Fe,Ti,2,4,0.92,0.61,cubic,0,3.824,3.824,3.824,90,90,90,0,-2.033,0.567,0.799,11.18,1.521
FeTlO3,Fe,Tl,3,3,0.78,0.89,orthorhombic,3,5.458,5.471,8.441,90,90,90,0.664,-1.146,0.148,1,12.604,-5.325
FeTmO3,Fe,Tm,3,3,0.78,0.88,cubic,0,4.187,4.187,4.187,90,90,90,0,-1.45,1.373,1.003,14.675,-4.947
FeUO3,Fe,U,2,4,0.92,0.89,cubic,0,4.293,4.293,4.293,90,90,90,0,-2.187,0.712,0.85,15.825,-
FeVO3,Fe,V,2,4,0.92,0.58,cubic,0,3.735,3.735,3.735,90,90,90,0,-1.596,0.55,0.854,10.423,-
FeWO3,Fe,W,2,4,0.92,0.66,rhombohedral,2,5.299,5.299,5.299,61,61,61,0,-1.692,0.309,0.612,10.754,-
FeYbO3,Fe,Yb,3,3,0.78,0.87,orthorhombic,3,5.523,5.641,8.013,90,90,90,0,-2.132,0.252,1.081,12.484,-6.404
FeZrO3,Fe,Zr,2,4,0.92,0.72,cubic,0,4.099,4.099,4.099,90,90,90,0,-2.02,0.768,0.8,13.774,-0.155
GaAlO3,Ga,Al,3,3,0.62,0.54,cubic,0,3.638,3.638,3.638,90,90,90,0,-1.81,0.873,-,9.633,-2.101
GaAsO3,Ga,As,1,5,0.62,0.46,cubic,0,3.793,3.793,3.793,90,90,90,0,-0.972,0.802,-,10.91,1.189
GaBO3,Ga,B,3,3,0.62,0.27,cubic,0,3.334,3.334,3.334,90,90,90,0,-0.962,1.4,-,7.415,-1.46
GaBiO3,Ga,Bi,1,5,0.62,0.76,orthorhombic,3,5.373,6.159,9.071,90,90,90,1.6,-1.645,0.153,-,15.009,-1.408
GaCrO3,Ga,Cr,1,5,0.62,0.49,cubic,0,3.763,3.763,3.763,90,90,90,0,-1.394,0.897,0.433,10.66,-1.107
GaIrO3,Ga,Ir,1,5,0.62,0.57,cubic,0,3.912,3.912,3.912,90,90,90,0,-0.682,0.848,0.121,11.978,1.044
GaMoO3,Ga,Mo,1,5,0.62,0.61,cubic,0,3.934,3.934,3.934,90,90,90,0,-1.725,0.298,0,12.174,4.552
GaNbO3,Ga,Nb,1,5,0.62,0.64,tetragonal,1,3.963,3.963,4.175,90,90,90,0.296,-2.186,0.159,0,13.115,4.928
GaNiO3,Ga,Ni,3,3,0.62,0.6,cubic,0,3.651,3.651,3.651,90,90,90,0,-0.575,0.994,0.149,9.735,-3.142
GaReO3,Ga,Re,1,5,0.62,0.58,cubic,0,3.909,3.909,3.909,90,90,90,0,-1.394,0.425,0,11.944,4.492
GaRuO3,Ga,Ru,1,5,0.62,0.57,cubic,0,3.882,3.882,3.882,90,90,90,0,-0.923,0.697,0.005,11.697,1.601
GaSbO3,Ga,Sb,1,5,0.62,0.6,cubic,0,3.993,3.993,3.993,90,90,90,0,-1.237,0.604,-,12.736,2.604
GaSiO3,Ga,Si,2,4,0.62,0.4,cubic,0,3.546,3.546,3.546,90,90,90,0,-1.882,0.662,-,8.921,3.184
GaTaO3,Ga,Ta,1,5,0.62,0.64,tetragonal,1,3.966,3.966,4.044,90,90,90,0.989,-2.396,0.146,0,12.719,5.757
GaUO3,Ga,U,1,5,0.62,0.76,tetragonal,1,4.308,4.332,4.332,90,90,90,2.492,-2.623,0.369,0.2,16.167,4.188
GaVO3,Ga,V,1,5,0.62,0.54,cubic,0,3.787,3.787,3.787,90,90,90,0,-1.719,0.646,-0.078,10.861,1.138
GaWO3,Ga,W,1,5,0.62,0.62,cubic,0,3.939,3.939,3.939,90,90,90,0,-1.84,0.19,0,12.222,5.257
GdAgO3,Gd,Ag,3,3,1.11,0.75,cubic,0,4.023,4.023,4.023,90,90,90,0,-1.484,0.525,0,13.023,-0.407
GdAlO3,Gd,Al,3,3,1.11,0.54,orthorhombic,3,5.221,5.333,7.428,90,90,90,5.604,-3.569,-0.041,0,10.339,6.35
GdAsO3,Gd,As,3,3,1.11,0.58,cubic,0,4,4,4,90,90,90,0,-1.959,0.66,0,12.804,2.291
GdBiO3,Gd,Bi,3,3,1.11,1.03,cubic,0,4.365,4.365,4.365,90,90,90,0,-1.581,1.053,0,16.633,1.002
GdCeO3,Gd,Ce,3,3,1.11,1.01,cubic,0,4.537,4.537,4.537,90,90,90,0.432,-2.371,1.285,0,18.68,-2.684
GdCoO3,Gd,Co,3,3,1.11,0.61,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GdCrO3,Gd,Cr,3,3,1.11,0.62,orthorhombic,3,5.307,5.585,7.625,90,90,90,2.406,-3.185,-0.048,0.6,11.301,4.365
GdCuO3,Gd,Cu,3,3,1.11,0.54,orthorhombic,3,5.251,5.86,7.265,90,90,90,0,-2.263,0.043,0,11.178,0.875
GdDyO3,Gd,Dy,3,3,1.11,0.91,cubic,0,4.266,4.266,4.266,90,90,90,1.71,-2.964,0.858,0,15.526,1.644
GdErO3,Gd,Er,3,3,1.11,0.89,cubic,0,4.219,4.219,4.219,90,90,90,1.779,-3.062,0.783,0,15.015,4.376
GdEuO3,Gd,Eu,3,3,1.11,0.95,cubic,0,4.259,4.259,4.259,90,90,90,0,-2.193,1.062,0.106,15.453,-2.044
GdFeO3,Gd,Fe,3,3,1.11,0.65,orthorhombic,3,5.33,5.614,7.646,90,90,90,1.164,-2.766,-0.023,1,11.439,3.384
GdGaO3,Gd,Ga,3,3,1.11,0.62,orthorhombic,3,5.305,5.571,7.608,90,90,90,4.008,-2.954,0.045,0,11.244,4.584
Gd2O3,Gd,Gd,3,3,1.11,0.94,cubic,0,4.319,4.319,4.319,90,90,90,1.454,-2.85,0.943,0,16.115,0.68
GdGeO3,Gd,Ge,2,4,1.11,0.53,cubic,0,3.881,3.881,3.881,90,90,90,0,-2.259,0.558,0,11.688,2.902
GdHfO3,Gd,Hf,2,4,1.11,0.71,orthorhombic,3,5.492,6.076,7.576,90,90,90,0,-3.433,0.211,0.001,12.641,4.652
GdHoO3,Gd,Ho,3,3,1.11,0.9,cubic,0,4.243,4.243,4.243,90,90,90,1.648,-3.015,0.818,0,15.277,1.857
GdInO3,Gd,In,3,3,1.11,0.8,cubic,0,4.05,4.05,4.05,90,90,90,1.499,-2.182,0.636,0,13.283,2.787
GdIrO3,Gd,Ir,2,4,1.11,0.63,cubic,0,3.958,3.958,3.958,90,90,90,0,-1.696,0.68,0,12.398,-0.662
GdLaO3,Gd,La,3,3,1.11,1.03,cubic,0,4.515,4.515,4.515,90,90,90,0.402,-2.493,1.259,0,18.403,-2.66
GdLuO3,Gd,Lu,3,3,1.11,0.86,cubic,0,4.155,4.155,4.155,90,90,90,1.993,-3.203,0.674,0,14.345,4.72
GdMnO3,Gd,Mn,3,3,1.11,0.65,orthorhombic,3,5.319,5.74,7.527,90,90,90,0.23,-2.944,0.002,0.8,11.491,3.6
GdMoO3,Gd,Mo,3,3,1.11,0.69,cubic,0,3.958,3.958,3.958,90,90,90,0,-2.33,0.55,0.005,12.4,1.977
GdNbO3,Gd,Nb,3,3,1.11,0.72,cubic,0,4.028,4.028,4.028,90,90,90,0,-2.654,0.539,0.001,13.069,3.349
GdNdO3,Gd,Nd,3,3,1.11,0.98,cubic,0,4.453,4.453,4.453,90,90,90,0.78,-2.551,1.155,0,17.658,-1.457
GdNiO3,Gd,Ni,3,3,1.11,0.6,orthorhombic,3,5.216,5.505,7.459,90,90,90,0,-2.39,0.003,0.2,10.708,1.181
GdPbO3,Gd,Pb,2,4,1.11,0.78,cubic,0,4.264,4.264,4.264,90,90,90,0,-1.554,0.96,0,15.508,0.631
GdPdO3,Gd,Pd,2,4,1.11,0.62,orthorhombic,3,5.423,5.911,7.558,90,90,90,0,-2.194,0.036,0.003,12.113,0.096
GdPrO3,Gd,Pr,3,3,1.11,0.99,cubic,0,4.492,4.492,4.492,90,90,90,0.601,-2.468,1.217,0,18.13,-2.045
GdReO3,Gd,Re,3,3,1.11,0.63,cubic,0,3.95,3.95,3.95,90,90,90,0,-1.956,0.757,0.162,12.322,0.537
GdRhO3,Gd,Rh,3,3,1.11,0.67,orthorhombic,3,5.291,5.787,7.654,90,90,90,0.966,-2.408,-0.044,0,11.717,0.071
GdRuO3,Gd,Ru,2,4,1.11,0.62,cubic,0,3.918,3.918,3.918,90,90,90,0,-1.957,0.526,0.121,12.032,0.899
GdSbO3,Gd,Sb,3,3,1.11,0.76,cubic,0,4.212,4.212,4.212,90,90,90,0,-1.794,0.957,-0.001,14.94,1.234
GdScO3,Gd,Sc,3,3,1.11,0.75,orthorhombic,3,5.462,5.744,7.903,90,90,90,4.618,-3.789,0.011,0,12.399,5.136
GdSiO3,Gd,Si,3,3,1.11,0.4,cubic,0,3.702,3.702,3.702,90,90,90,0,-2.666,0.681,0,10.145,4.651
GdSmO3,Gd,Sm,3,3,1.11,0.96,cubic,0,4.385,4.385,4.385,90,90,90,1.343,-2.697,1.05,0,16.867,-0.462
GdSnO3,Gd,Sn,2,4,1.11,0.69,cubic,0,4.109,4.109,4.109,90,90,90,0,-2.062,0.777,0,13.873,2.372
GdTaO3,Gd,Ta,3,3,1.11,0.72,cubic,0,4.006,4.006,4.006,90,90,90,0,-2.731,0.577,0.001,12.86,3.388
GdTbO3,Gd,Tb,3,3,1.11,0.92,cubic,0,4.292,4.292,4.292,90,90,90,1.582,-2.778,0.899,0,15.81,1.004
GdTeO3,Gd,Te,2,4,1.11,0.97,cubic,0,4.236,4.236,4.236,90,90,90,0,-1.48,1.067,0.003,15.202,0.972
GdTiO3,Gd,Ti,2,4,1.11,0.61,orthorhombic,3,5.341,5.687,7.675,90,90,90,0,-3.45,0.036,0.2,11.654,4.865
GdTlO3,Gd,Tl,3,3,1.11,0.89,orthorhombic,3,5.626,5.984,8.458,90,90,90,1.12,-2.271,0.094,0.001,14.239,0.686
GdTmO3,Gd,Tm,3,3,1.11,0.88,cubic,0,4.195,4.195,4.195,90,90,90,1.964,-3.122,0.74,0,14.761,4.498
GdUO3,Gd,U,3,3,1.11,1.03,cubic,0,4.389,4.389,4.389,90,90,90,0,-2.621,0.994,0.539,16.911,2.093
GdVO3,Gd,V,3,3,1.11,0.64,orthorhombic,3,5.336,5.697,7.649,90,90,90,1.258,-3.255,-0.044,0.4,11.626,4.106
GdWO3,Gd,W,3,3,1.11,0.66,cubic,0,3.963,3.963,3.963,90,90,90,0,-2.25,0.728,0.001,12.45,1.535
GdYO3,Gd,Y,3,3,1.11,0.9,cubic,0,4.266,4.266,4.266,90,90,90,1.911,-2.94,0.86,0,15.525,1.453
GdYbO3,Gd,Yb,3,3,1.11,0.87,cubic,0,4.104,4.104,4.104,90,90,90,0,-2.441,0.859,0.158,13.821,-1.69
GdZrO3,Gd,Zr,2,4,1.11,0.72,cubic,0,4.125,4.125,4.125,90,90,90,0,-3.015,0.525,0,14.033,4.296
GeCeO3,Ge,Ce,2,4,0.73,0.87,orthorhombic,3,5.774,6.139,8.589,90,90,90,0,-2.466,0.228,0,15.221,-4.155
GeCoO3,Ge,Co,2,4,0.73,0.53,cubic,0,3.713,3.713,3.713,90,90,90,0,-0.73,0.961,0.532,10.239,0.905
GeCrO3,Ge,Cr,2,4,0.73,0.55,cubic,0,3.782,3.782,3.782,90,90,90,0,-1.431,0.66,0.4,10.822,1.067
GeFeO3,Ge,Fe,2,4,0.73,0.59,cubic,0,3.774,3.774,3.774,90,90,90,0,-1.043,0.777,0.8,10.753,0.461
GeHfO3,Ge,Hf,2,4,0.73,0.71,orthorhombic,3,5.421,5.756,7.86,90,90,90,2.728,-2.66,0.218,0,12.262,4.589
GeIrO3,Ge,Ir,2,4,0.73,0.63,cubic,0,3.918,3.918,3.918,90,90,90,0,-0.566,0.886,0.009,12.03,0.709
GeMnO3,Ge,Mn,2,4,0.73,0.53,cubic,0,3.76,3.76,3.76,90,90,90,0,-1.236,0.789,0.6,10.629,0.575
GeMoO3,Ge,Mo,2,4,0.73,0.65,orthorhombic,3,5.283,5.684,7.696,90,90,90,0,-1.555,0.304,0.346,11.553,3.986
GeNbO3,Ge,Nb,2,4,0.73,0.68,orthorhombic,3,5.31,5.812,7.795,90,90,90,0,-1.97,0.296,0.195,12.028,4.379
GeNiO3,Ge,Ni,2,4,0.73,0.48,cubic,0,3.701,3.701,3.701,90,90,90,0,-0.525,1.172,0.218,10.14,-2.919
GePbO3,Ge,Pb,2,4,0.73,0.78,rhombohedral,2,6.153,6.153,6.153,58.4,58.4,58.4,1.688,-1.481,0.28,-,15.853,0.674
GePdO3,Ge,Pd,2,4,0.73,0.62,cubic,0,3.925,3.925,3.925,90,90,90,0,-0.349,1.044,-,12.095,-0.489
GePrO3,Ge,Pr,2,4,0.73,0.85,cubic,0,4.454,4.454,4.454,90,90,90,0,-1.336,1.302,0.2,17.667,-4.047
GeReO3,Ge,Re,2,4,0.73,0.63,cubic,0,3.919,3.919,3.919,90,90,90,0,-1.095,0.551,0,12.042,2.429
GeRhO3,Ge,Rh,2,4,0.73,0.6,cubic,0,3.9,3.9,3.9,90,90,90,0,-0.605,0.839,0.049,11.86,0.665
GeRuO3,Ge,Ru,2,4,0.73,0.62,cubic,0,3.899,3.899,3.899,90,90,90,0,-0.817,0.697,0.326,11.859,2.002
GeSbO3,Ge,Sb,2,4,0.73,0.68,cubic,0,4.068,4.068,4.068,90,90,90,0,-1.036,0.643,-,13.468,2.138
GeSiO3,Ge,Si,2,4,0.73,0.4,tetragonal,1,3.419,3.419,4.324,90,90,90,2.063,-2.029,0.382,-,10.11,5.488
GeSnO3,Ge,Sn,2,4,0.73,0.69,orthorhombic,3,5.274,5.879,7.909,90,90,90,1.097,-1.525,0.245,-,12.262,2.94
GeTaO3,Ge,Ta,2,4,0.73,0.68,rhombohedral,2,5.255,5.255,5.255,66.4,66.4,66.4,0,-2.091,0.383,0,11.682,-
GeTbO3,Ge,Tb,2,4,0.73,0.76,cubic,0,4.296,4.296,4.296,90,90,90,0,-1.46,1.17,0.201,15.855,-3.122
GeTeO3,Ge,Te,2,4,0.73,0.97,cubic,0,4.166,4.166,4.166,90,90,90,0,-0.732,0.794,-,14.464,1.654
GeThO3,Ge,Th,2,4,0.73,0.94,cubic,0,4.546,4.546,4.546,90,90,90,0.323,-2.162,0.978,0,18.789,2.191
GeTiO3,Ge,Ti,2,4,0.73,0.61,tetragonal,1,3.784,3.784,4.218,90,90,90,1.509,-2.361,0.151,0,12.078,4.252
GeUO3,Ge,U,2,4,0.73,0.89,cubic,0,4.319,4.319,4.319,90,90,90,0,-2.198,0.66,0.147,16.111,3.662
GeVO3,Ge,V,2,4,0.73,0.58,tetragonal,1,3.75,3.75,4.232,90,90,90,1.049,-1.954,0.211,0.2,11.902,2.827
GeWO3,Ge,W,2,4,0.73,0.66,tetragonal,1,3.884,4.015,4.015,90,90,90,0,-1.54,0.416,0.001,12.521,3.963
GeZrO3,Ge,Zr,2,4,0.73,0.72,cubic,0,4.125,4.125,4.125,90,90,90,1.703,-2.235,0.524,0,14.041,4.191
HfAsO3,Hf,As,4,2,0.83,0.58,cubic,0,3.941,3.941,3.941,90,90,90,0,-1.005,1.78,0.156,12.242,-0.386
