Chemical formula,A,B,Valence A,Valence B,Radius A [ang],Radius B [ang],Crystal Type,Crystal Type,a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Band gap [eV],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Vacancy energy [eV/O atom]
AlPrO3,Al,Pr,3,3,0.54,0.99,orthorhombic,3,5.529,5.537,8.72,90,90,90,2.935,-3.213,0.286,0,13.347,-7.082
AlReO3,Al,Re,3,3,0.54,0.63,cubic,0,3.912,3.912,3.912,90,90,90,0,-1.244,1.157,0,11.971,3.045
AlRhO3,Al,Rh,3,3,0.54,0.67,cubic,0,3.872,3.872,3.872,90,90,90,0,-0.666,1.433,0.082,11.614,-2.563
AlRuO3,Al,Ru,3,3,0.54,0.68,cubic,0,3.87,3.87,3.87,90,90,90,0,-0.871,1.331,0.212,11.596,0.576
AlSbO3,Al,Sb,3,3,0.54,0.76,cubic,0,4.019,4.019,4.019,90,90,90,0,-1.11,1.312,-,12.983,1.822
AlScO3,Al,Sc,3,3,0.54,0.75,cubic,0,3.974,3.974,3.974,90,90,90,0,-1.867,1.669,-0.012,12.556,-4.725
AlSmO3,Al,Sm,3,3,0.54,0.96,orthorhombic,3,5.45,5.462,8.551,90,90,90,3.072,-3.267,0.27,0,12.728,-6.818
AlTaO3,Al,Ta,3,3,0.54,0.72,cubic,0,4.002,4.002,4.002,90,90,90,0,-2.219,0.753,0,12.82,5.56
AlTbO3,Al,Tb,3,3,0.54,0.92,rhombohedral,2,6.025,6.025,6.025,54,54,54,3.738,-3.197,0.251,0,13.312,-6.525
AlTiO3,Al,Ti,3,3,0.54,0.67,cubic,0,3.841,3.841,3.841,90,90,90,0,-2.161,1.032,0,11.337,0.011
AlTlO3,Al,Tl,3,3,0.54,0.89,orthorhombic,3,5.285,5.41,8.5,90,90,90,0.638,-1.911,0.19,-,12.152,-6.702
AlTmO3,Al,Tm,3,3,0.54,0.88,rhombohedral,2,5.828,5.828,5.828,55.1,55.1,55.1,3.756,-3.378,0.237,0,12.404,-6.024
AlUO3,Al,U,3,3,0.54,1.03,orthorhombic,3,5.72,5.961,8.125,90,90,90,0,-2.94,0.452,0.567,13.853,2.358
AlVO3,Al,V,3,3,0.54,0.64,orthorhombic,3,5.004,5.03,7.636,90,90,90,1.47,-2.799,0.149,0.4,9.609,-0.475
AlWO3,Al,W,3,3,0.54,0.66,cubic,0,3.941,3.941,3.941,90,90,90,0,-1.67,0.951,0,12.242,4.827
AlYO3,Al,Y,3,3,0.54,0.9,rhombohedral,2,6.003,6.003,6.003,54.1,54.1,54.1,3.81,-3.324,0.236,0,13.18,-6.49
AlYbO3,Al,Yb,3,3,0.54,0.87,orthorhombic,3,5.119,5.58,8.294,90,90,90,0,-2.923,0.124,-,11.845,-7.558
AlZrO3,Al,Zr,3,3,0.54,0.72,cubic,0,4.115,4.115,4.115,90,90,90,0,-2.183,1.117,0,13.936,-1.156
AsAgO3,As,Ag,3,3,0.58,0.75,cubic,0,3.993,3.993,3.993,90,90,90,0,0.229,1.337,-,12.735,-3.674
AsAlO3,As,Al,3,3,0.58,0.54,cubic,0,3.653,3.653,3.653,90,90,90,0,-1.712,0.644,-,9.746,1.583
As2O3,As,As,3,3,0.58,0.58,cubic,0,3.854,3.854,3.854,90,90,90,0,-0.521,0.925,-,11.453,1.088
AsBO3,As,B,3,3,0.58,0.27,cubic,0,3.377,3.377,3.377,90,90,90,0.923,-0.852,1.183,-,7.706,2.629
AsCeO3,As,Ce,2,4,0.58,0.87,cubic,0,4.505,4.505,4.505,90,90,90,0,-0.902,1.665,0.021,18.283,-7.219
AsCoO3,As,Co,3,3,0.58,0.61,cubic,0,3.659,3.659,3.659,90,90,90,0,-0.584,0.82,-0.004,9.799,0.089
